00001,ICE BAG,EACH,,-6285 
00002,INSTANT LOTTERY,EACH,,-11870 
00003,LOTTERY,EACH,,-22995 
00005,BACARDI LIME,1.75L,8048098366,14 
00006,BACARDI LIME,750ML,8048098427,89 
00007,LEGENT BOURBON,750ML,8068602401,55 
00008,SUPER BOCK STOUT,12OZ,5000409401,-1 
00009,TAP DEPOSIT,EACH,,1 
00010,BALLANTINE ALE NRS,12OZ,7213022906,11 
00011,ICARUS FOR THE STORY,16OZ,5283014919,-8 
00012,CAPE MAY THE BOG,12OZ,5066900809,3 
00013,ROBERT MONDAVI BOURBON AGED CHARDONNAY,750ML,8600378024,16 
00014,ROBERT MONDAVI RUM AGED MERLOT,750ML,,60 
00015,ALEMENTARY CUDDLY WHISKERS,12OZ,,-1 
00016,BOLERO SNORT ANOTHER STEER OLDER,16OZ,5000394594,3 
00018,CAPE MAY SUMMER CATCH,12OZ,,-1 
00019,FOOLPROOF THE DEPTHS,16OZ,5283052816,0 
00020,FOOLPROOF THE GROTTO,16OZ,8383217551,0 
00021,FOOLPROOF OCEAN STATE LAGER,16OZ,1996267911,0 
00022,BUD CANS 8OZ 12PK,8OZ,180422,1 
00023,BLACK HOG HOG WATER,16OZ,5659100509,0 
00024,BLACK HOG BHB IPA,12OZ,5659100520,0 
00025,BLACK HOG INVASION IPA,16OZ,5659100523,0 
00026,CAPE LINE VARIETY 12 PK,12OZ,3410051681,0 
00027,MAGNIFY PERECPTION IS REALITY,16OZ,0000419846,1 
00028,HERRADURA COLECCION DE LA CASA TEQUILA SILVER RESERVA DIRECTO DE ALAMBIQUE,750ML,4460700379,0 
00029,BUD NRS,12OZ,1820000834,14 
00030,BUD NRS,7OZ,1820000774,34 
00031,BUD LIGHT CANS,12OZ,181062,-219 
00032,HERRADURA TEQUILA ULTRA ANEJO,750ML,4460700372,7 
00033,BEACH HAUS SWELL IPA,16OZ,4023223772,0 
00034,NAVARRO CORREAS MALBEC COLECCION PRIVADA,750ML,9392800275,0 
00035,GOT WHISKY SET,750ML,,3 
00036,BIG LEAGUE GRAPE CHEW,13/4,4289766001,12 
00037,BIG LEAGUE WATERMELON CHEW,13/4,4289766003,3 
00038,BIG LEAGUE SOUR APPLE CHEW,13/4,4289766002,3 
00039,BIG LEAGUE COTTON CANDY CHEW,13/4,4289766096,12 
00040,CLASE AZUL ANEJO,750ML,8124012075,2 
00041,FABRIZIA ITALIAN MARGARITA,355ML,8609173795,1 
00042,COORS CANS,12OZ,719974,-4 
00043,COORS NRS,32OZ,7199010001,0 
00044,FABRIZIA ITALIAN LEMONADE,355ML,8609173796,-12 
